Company,Division,First Name,Last Name,Title,LinkedIn Search URL,Email,Priority,Notes
Agilent Technologies,IP,"","","Director Intellectual Property","https://www.linkedin.com/search/results/people/?keywords=Director+Intellectual+Property&company=Agilent+Technologies",,High,IP licensing contact — Agilent has active chip electrophoresis platform
10x Genomics,Corporate,"Serge","Saxonov","Chief Executive Officer","https://www.linkedin.com/in/sergesaxonov/",,High,Known co-founder/CEO — Chromium platform is droplet microfluidics — very high relevance
10x Genomics,IP,"","","VP Intellectual Property","https://www.linkedin.com/search/results/people/?keywords=VP+Intellectual+Property&company=10x+Genomics",,High,IP licensing decision maker — 10x is aggressive on IP
10x Genomics,Corporate Development,"","","Director Corporate Development","https://www.linkedin.com/search/results/people/?keywords=Director+Corporate+Development&company=10x+Genomics",,Medium,Handles partnerships and licensing transactions
Meridian Bioscience,Diagnostics,"","","VP R&D","https://www.linkedin.com/search/results/people/?keywords=VP+R%26D&company=Meridian+Bioscience",,Medium,Smaller company — VP R&D likely owns IP strategy; Meridian uses assay cartridge tech
Meridian Bioscience,Corporate,"","","Director Business Development","https://www.linkedin.com/search/results/people/?keywords=Director+Business+Development&company=Meridian+Bioscience",,Medium,BD handles licensing inbound at mid-size diagnostics companies
Pfizer,Drug Delivery,"","","VP Drug Delivery Innovation","https://www.linkedin.com/search/results/people/?keywords=VP+Drug+Delivery+Innovation&company=Pfizer",,High,Pfizer uses microfluidics for LNP manufacturing and drug delivery R&D
Pfizer,Corporate IP,"","","Chief IP Officer","https://www.linkedin.com/search/results/people/?keywords=Chief+IP+Officer&company=Pfizer",,High,Pfizer IP organization handles licensing at enterprise level
Pfizer,Corporate Development,"","","VP Corporate Development","https://www.linkedin.com/search/results/people/?keywords=VP+Corporate+Development&company=Pfizer",,Medium,Corp dev manages licensing transactions — large deal experience
Moderna,Drug Delivery,"Noubar","Afeyan","Founder","https://www.linkedin.com/in/noubarafeyan/",,High,Founder/Chairman; Flagship Pioneering connection — LNP manufacturing uses microfluidics
Moderna,Manufacturing Science,"","","VP Process Development and Drug Delivery","https://www.linkedin.com/search/results/people/?keywords=VP+Process+Development+Drug+Delivery&company=Moderna",,High,LNP microfluidic manufacturing is core to mRNA platform — high patent relevance
Moderna,IP,"","","Head of Intellectual Property","https://www.linkedin.com/search/results/people/?keywords=Head+Intellectual+Property&company=Moderna",,High,Moderna IP team actively manages licensing after COVID mRNA buildout
Dexcom,Wearable Technology,"","","VP R&D Sensor Technology","https://www.linkedin.com/search/results/people/?keywords=VP+R%26D+Sensor+Technology&company=Dexcom",,Medium,Dexcom CGM sensor uses microfluidic-adjacent membrane and fluid management tech
Dexcom,Corporate Development,"","","VP Corporate Development","https://www.linkedin.com/search/results/people/?keywords=VP+Corporate+Development&company=Dexcom",,High,Corp dev owns licensing and tech acquisition at Dexcom
Dexcom,IP,"","","Director Intellectual Property","https://www.linkedin.com/search/results/people/?keywords=Director+Intellectual+Property&company=Dexcom",,Medium,IP licensing contact — Dexcom is active patent filer
Medtronic,Corporate Development,"","","VP Corporate Development","https://www.linkedin.com/search/results/people/?keywords=VP+Corporate+Development&company=Medtronic",,High,Medtronic has microfluidics interests in drug delivery and monitoring divisions
Medtronic,IP,"","","Chief IP Officer","https://www.linkedin.com/search/results/people/?keywords=Chief+IP+Officer&company=Medtronic",,High,Medtronic IP group manages large licensing portfolio — experienced dealmakers
Medtronic,Drug Delivery,"","","VP R&D Drug Delivery","https://www.linkedin.com/search/results/people/?keywords=VP+R%26D+Drug+Delivery&company=Medtronic",,Medium,Implantable drug delivery uses microfluidic pump technology
